自增ID,租户ID,资产ID,智能耳标编号,记录日期,记录人,资产月龄,资产体重,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
8236,4,3813,2210000469,2025-04-23,付勇斌,9.0,585.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8237,4,3814,2210000470,2025-04-23,付勇斌,9.0,610.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8238,4,3815,2210000471,2025-04-23,付勇斌,9.0,625.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8239,4,3816,2210000472,2025-04-23,付勇斌,9.0,640.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8240,4,3818,2210000474,2025-04-23,付勇斌,9.0,660.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8241,4,3819,2210000475,2025-04-23,付勇斌,9.0,585.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8242,4,3820,2210000476,2025-04-23,付勇斌,9.0,650.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8243,4,3821,2210000477,2025-04-23,付勇斌,9.0,440.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8244,4,3823,2210000479,2025-04-23,付勇斌,9.0,630.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8245,4,3824,2210000480,2025-04-23,付勇斌,9.0,525.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8246,4,3825,2210000481,2025-04-23,付勇斌,9.0,500.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8247,4,3826,2210000482,2025-04-23,付勇斌,9.0,615.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8248,4,3827,2210000483,2025-04-23,付勇斌,9.0,470.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8249,4,3828,2210000484,2025-04-23,付勇斌,9.0,640.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8250,4,3829,2210000485,2025-04-23,付勇斌,9.0,595.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8251,4,3831,2210000487,2025-04-23,付勇斌,9.0,570.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8252,4,3832,2210000488,2025-04-23,付勇斌,9.0,600.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
